,logits,labels,pred_label,polarity,term,id,sentence,labels_y
444,"[1.1662988662719727, -2.3400516510009766, 0.9376782774925232]",2,0,neutral,traditional Mediterranean fare,32896492#738746#2_1,They also have a great assortment of wraps if your not in the mood for traditional Mediterranean fare.,2
800,"[-0.9150834083557129, 3.207890033721924, -1.8897385597229004]",2,1,neutral,manager,11359790#823900#3_0,The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,2
742,"[1.5882487297058105, 0.5515878200531006, -1.840677261352539]",1,0,negative,staff,35720486#684689#4_0,The staff should be a bit more friendly.,1
590,"[-1.3544259071350098, -2.5210394859313965, 2.925245761871338]",1,2,negative,fried foods,11651065#413029#1_1,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.",1
431,"[4.386867046356201, -3.0578246116638184, -0.9284063577651978]",2,0,neutral,burgers,35668286#0#2_4,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",2
934,"[-2.351439952850342, 3.9872379302978516, -1.3733153343200684]",2,1,neutral,waiter,12036269#580745#2_0,There was only one waiter for the whole restaurant upstairs.,2
256,"[-2.022204637527466, 3.750033378601074, -1.485223650932312]",0,1,positive,entrees,35816071#637243#2_0,"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14).",0
960,"[5.010677337646484, -2.519665479660034, -1.7918317317962646]",2,0,neutral,Japanese dishes,35196527#481646#0_5,"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few.",2
273,"[-0.5975055694580078, -2.355870008468628, 2.202322006225586]",1,2,negative,gratuity,33071731#1007204#6_0,15% gratuity automatically added to the bill.,1
760,"[4.398029327392578, -2.7472832202911377, -1.3109221458435059]",2,0,neutral,soft shell crab,35695422#1464305#3_0,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,2
472,"[1.5233757495880127, -0.04110705852508545, -1.3320072889328003]",2,0,neutral,mozzarella sticks,11350142#1253117#2_2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",2
53,"[4.417057991027832, -2.734952449798584, -1.183241605758667]",2,0,neutral,served,32899282#556036#1_0,They are served on Focacchia bread and are to die for.,2
145,"[-0.6454800367355347, 3.832160234451294, -2.437509298324585]",0,1,positive,coffee,36244464#949326#5_0,Did I mention that the coffee is OUTSTANDING?,0
476,"[5.02975606918335, -2.523045778274536, -1.8184128999710083]",2,0,neutral,fries,33070588#0#2_2,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",2
832,"[1.8852369785308838, -0.9259524345397949, -0.6804713606834412]",1,0,negative,dinners,35714274#1076679#0_0,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,1
770,"[-1.6563639640808105, 3.867952346801758, -1.713486671447754]",0,1,positive,prices,35709337#1579632#6_0,"Anywhere else, the prices would be 3x as high!",0
680,"[-3.207432270050049, 2.75445556640625, 0.0768507719039917]",2,1,neutral,served,35177381#521555#0_0,"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.",2
360,"[-2.3266477584838867, -0.25628066062927246, 1.8796777725219727]",1,2,negative,food,11538980#453602#1_0,the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.,1
689,"[-1.6184563636779785, 0.8241281509399414, 0.535575807094574]",2,1,neutral,food,32950007#1320096#3_1,"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",2
1059,"[4.468471050262451, -1.2521198987960815, -2.4370813369750977]",1,0,negative,CRABCAKES,11519527#1541586#3_0,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",1
588,"[4.788077354431152, -2.4192264080047607, -1.721919059753418]",2,0,neutral,ITALIAN MEAL,33070286#1133164#1_0,IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL.,2
1042,"[5.022565841674805, -2.2374608516693115, -2.0651724338531494]",1,0,negative,MAC AND CHEESE,11519527#1541586#3_1,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",1
415,"[4.774044036865234, -2.7038118839263916, -1.5173373222351074]",2,0,neutral,non-meat alternatives,35171678#484493#1_4,"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.",2
257,"[-1.5471012592315674, -2.45953369140625, 3.1248607635498047]",0,2,positive,appetizers,35816071#637243#2_1,"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14).",0
959,"[4.942544937133789, -2.571608304977417, -1.7488563060760498]",2,0,neutral,spicy cod roe spaghetti,35196527#481646#0_6,"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few.",2
1067,"[5.023195266723633, -2.3856000900268555, -1.9191651344299316]",2,0,neutral,boutique selection of wines,11313359#650269#5_0,The boutique selection of wines covers a wide variety without being imposeing.,2
372,"[4.954293251037598, -2.5032591819763184, -1.8126764297485352]",2,0,neutral,booth by the windows,11351814#1650882#5_2,"The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service.",2
1025,"[-0.15525910258293152, -0.9044592380523682, 0.7395302057266235]",0,2,positive,Indian food,33068425#562449#1_0,"For someone who used to hate Indian food, Baluchi's has changed my mid.",0
665,"[3.927321672439575, -2.857257843017578, -0.6872444748878479]",2,0,neutral,chicken,11349922#547169#3_2,Half a chicken with a mountain of rice and beans for $6.25.,2
89,"[4.905928134918213, -2.27068829536438, -1.9698938131332397]",1,0,negative,fennel flavored Italian sausage,35886114#1249751#0_0,The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.,1
555,"[-2.3234856128692627, 0.4840187132358551, 1.178594946861267]",1,2,negative,price,32894669#1075584#0_0,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",1
250,"[-3.2288548946380615, 2.929926633834839, 0.015677884221076965]",2,1,neutral,anchovy dressing,33071731#1007204#2_0,"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion.",2
1069,"[-2.2572553157806396, 4.117081642150879, -1.6252033710479736]",2,1,neutral,waiter,11482070#503858#2_1,I always find myself asking the waiter to make something bland and different than what is on the menu.,2
663,"[4.294596195220947, -2.8266119956970215, -1.0420149564743042]",2,0,neutral,rice,11349922#547169#3_0,Half a chicken with a mountain of rice and beans for $6.25.,2
453,"[4.100801467895508, -3.0833640098571777, -0.6597480773925781]",2,0,neutral,pub fare,35668286#0#2_5,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",2
611,"[-1.7533564567565918, 3.6203107833862305, -1.6161603927612305]",2,1,neutral,sushi/sashimi,35693081#540596#1_1,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",2
1081,"[4.4386677742004395, -3.085352659225464, -0.9523440599441528]",2,0,neutral,appetizers,32899414#512291#0_0,"A beautiful atmosphere, perfect for drinks and/or appetizers.",2
117,"[2.178208351135254, -3.485287666320801, 1.1479604244232178]",2,0,neutral,sopaipillas,33061325#0#3_1,Desserts include flan and sopaipillas.,2
682,"[-3.1819348335266113, 3.3293659687042236, -0.4065791964530945]",2,1,neutral,utensils,11351328#1638529#2_1,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",2
678,"[-2.547797679901123, 2.5252318382263184, -0.2516413927078247]",2,1,neutral,bistro menu,11351622#0#3_0,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,2
900,"[1.8022229671478271, -3.1030755043029785, 1.0366666316986084]",2,0,neutral,takeout,35709275#573688#2_1,"Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the bar looks nice.",2
539,"[3.8072478771209717, -2.6436564922332764, -0.8444281816482544]",2,0,neutral,chef,11359727#487554#2_0,"Even when the chef is not in the house, the food and service are right on target.",2
238,"[4.484077453613281, -2.943958282470703, -1.1134109497070312]",2,0,neutral,margarita,33106326#864352#1_3,"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.",2
254,"[-2.611593246459961, 3.7299604415893555, -1.1219196319580078]",2,1,neutral,nicoise olives,33071731#1007204#2_4,"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion.",2
122,"[0.15949515998363495, -1.3500887155532837, 0.7268749475479126]",0,2,positive,food,32935211#1468239#1_0,"Yes, they're a bit more expensive then typical, but then again, so is their food.",0
244,"[-0.20542678236961365, 3.07316255569458, -2.33306622505188]",0,1,positive,ribs,11660930#655010#4_0,"Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great.",0
471,"[5.035971641540527, -2.4840476512908936, -1.8570027351379395]",2,0,neutral,stuffed baked potatoes,33070588#0#2_4,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",2
410,"[4.890627861022949, -2.631200075149536, -1.63932204246521]",2,0,neutral,entrees,15094232#1295193#2_0,"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!",2
342,"[3.788017988204956, -3.0619454383850098, -0.4800492823123932]",2,0,neutral,decor,32938222#1552119#1_0,The decor is designed in a contemporary Japanese style restaurant.,2
251,"[-3.178657054901123, 3.3299007415771484, -0.3550422191619873]",2,1,neutral,table,33060905#1138585#0_0,i went in one day asking for a table for a group and was greeted by a very rude hostess.,2
